INF [20100405-20:21:36.615] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.629] w3c: 13 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.630] w3c: 0 - - - - - - - RowzShards:add_child_shard 6,4,1
INF [20100405-20:21:36.632] w3c: 1 - - - - - - - RowzShards:add_child_shard 6,5,1
INF [20100405-20:21:36.637] w3c: 5 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:1844674407370955161,_shard_id:6)
INF [20100405-20:21:36.645] w3c: 6 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.649] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.654] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.655] w3c: 1 - - - - - - - RowzShards:add_child_shard 9,7,1
INF [20100405-20:21:36.656] w3c: 0 - - - - - - - RowzShards:add_child_shard 9,8,1
INF [20100405-20:21:36.662] w3c: 5 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:3689348814741910322,_shard_id:9)
INF [20100405-20:21:36.665] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
